,user_id,made_on,original_description,amount_cents,income
143,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-16,INVESTMENT ISA ID1647498-003 FT,31000,False
144,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-16,UBER *TRIP NETHERLANDS AMOUNT IN SEK 509.00 ON 15 JUN VISA 11.926471 FINAL GBP AMOUNT INCLUDES NON-STERLING TRANS FEE £1.17,4385,False
145,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-16,NORWEGIAN AIR SHUT NORWAY ON 15 JUN BCC,7090,False
146,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-16,WH SMITH ON 15 JUN CLP,299,False
147,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-16,BOOTS 1137 ON 15 JUN CLP,629,False
148,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-16,AMT COFFEE LTD ON 15 JUN CLP,150,False
149,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-16,WAGAMAMA GATWICK S ON 15 JUN BCC,1525,False
150,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-16,UBER TRIP HELP.UBE ON 15 JUN BCC,574,False
151,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-15,PP*VINAI ON 14 JUN CLP,700,False
152,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-15,BOOTS 1126 ON 14 JUN CLP,350,False
153,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-15,UBER TRIP HELP.UBE ON 15 JUN BCC,459,False
154,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-15,GREEN PK TAVERN ON 13 JUN CLP,2770,False
155,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-14,ITUNES.COM/BILL IRELAND ON 13 JUN BCC,399,False
156,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-14,PP*VINAI ON 13 JUN CLP,700,False
157,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-14,SAINSBURYS S/MKTS ON 13 JUN BCC,300,False
158,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-14,LOAN REPAYM 14 JUN BCC,1250,False
159,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-14,RYANAIR 22400000KU ON 12 JUN BCC,10121,False
160,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-13,ROSS T bookstore BGC,4900,True
161,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-13,BILL A+SESSA M SWEDEN - ALBERT BBP,14900,True
162,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-13,GREEN PK TAVERN ON 11 JUN CLP,900,False
163,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-13,ENGOCHA ON 12 JUN BCC,900,False
164,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-13,PRET A MANGER ON 12 JUN CLP,560,False
165,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-13,UNIQLO (EUROPE) LT ON 12 JUN CLP,1580,False
166,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-13,Nike Store 00531 ON 12 JUN BCC,5090,False
167,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-12,IZ *LONDON SMOKEHO ON 11 JUN CLP,1000,False
168,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-12,IZ *TWO TRIBES BRE ON 11 JUN CLP,600,False
169,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-12,WAITROSE ON 11 JUN CLP,200,False
170,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-12,LOAN REPAYM 11 JUN BCC,400,False
171,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-11,BENJAMIN J HOWE B O CIBCCATT BGC,14911,True
172,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-11,TESCO STORES 5518 ON 10 JUN BCC,100,False
173,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-11,M&S SIMPLY FOOD - ON 10 JUN CLP,800,False
174,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-11,IZ *LORDS OF POKE ON 10 JUN CLP,925,False
175,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-10,IZ *SAVAGE SALADS ON 09 JUN CLP,750,False
176,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-10,LOWLINE ENTERTAINM ON 09 JUN CLP,1150,False
177,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-10,SAINSBURYS S/MKTS ON 09 JUN CLP,1080,False
178,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-09,LADYBIRD CLUB ON 08 JUN CLP,2500,False
179,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-09,VINE ON 07 JUN BCC,3000,False
180,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-08,UBER *TRIP NETHERLANDS ON 08 JUN BCC,543,False
181,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-07,MONEYMARKET BGC,5000,True
182,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-07,LOAN REPAYM 06 JUN BCC,100,False
183,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-07,PP*VINAI ON 06 JUN CLP,700,False
184,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-06,BILL KENNEDY SPLITWISE FT,33714,False
185,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-06,N K CONVENIENCE ST ON 05 JUN CLP,249,False
186,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-06,MM E&C ON 05 JUN CLP,900,False
187,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-06,Gaucho BBQ ON 05 JUN CLP,2440,False
188,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-06,Gaucho BBQ ON 05 JUN CLP,395,False
189,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-06,SumUp *Vin's Thai ON 05 JUN CLP,700,False
190,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-06,TESCO STORES 5518 ON 05 JUN BCC,290,False
191,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-06,PURE GYM LTD 126204012579010005 DDR,2849,False
192,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-05,TESCO STORES 5518 ON 04 JUN CLP,330,False
193,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-05,SumUp *Vin's Thai ON 04 JUN CLP,700,False
194,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-05,AMZNMktplace ON 04 JUN BCC,666,False
195,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-04,AMZNMktplace ON 03 JUN BCC,1845,False
196,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-04,PP*VINAI ON 03 JUN CLP,700,False
197,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-03,UBER TRIP HELP.UBE CZECH REP AMOUNT IN CZK 150.95 ON 03 JUN VISA 29.059293 FINAL GBP AMOUNT INCLUDES NON-STERLING TRANS FEE £0.14,533,False
198,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-03,AIRBNB * HMAMXNYPD ON 02 JUN BCC,96958,False
